날짜,매출금액,매출건수
20250326,61561,2
20250326,20492,2
20250326,81322,7
20250326,100285,4
20250326,85738,5
20250326,19601,2
20250326,12295,2
20250326,93193,4
20250326,57912,4
20250326,49145,4
20250326,164535,9
20250326,1121908,12
20250326,162153,2
20250326,880257,2
20250326,434553,2
20250326,431575,2
20250326,890948,2
20250326,1913756,4
20250326,2931221,5
20250326,5345688,2
20250326,8411974,5
20250326,178190,2
20250326,1742536,2
20250326,2852496,2
20250327,28510,4
20250327,12473,2
20250327,15681,2
20250327,7128,2
20250327,3564,2
20250327,3920,2
20250327,4490,2
20250327,14255,4
20250327,4455,2
20250327,3742,2
20250327,660549,2
20250327,106914,2
20250327,63257,5
20250327,132304,5
20250327,51497,4
20250327,17482,2
20250327,157698,7
20250327,195118,11
20250327,3564,2
20250327,43656,2
20250327,94993,5
20250327,1344868,5
20250327,32074,2
20250327,57944,5
20250327,63008,4
20250327,147541,4
20250327,96124,4
20250327,20492,2
20250327,28653,2
20250327,13899,2
20250327,24501,2
20250327,112195,7
20250327,49180,2
20250327,23165,2
20250327,23165,2
20250327,22274,2
20250327,162651,7
20250327,80880,5
20250327,126515,4
20250327,179971,4
20250327,42766,2
20250327,96222,2
20250327,266379,2
20250327,71276,2
20250327,17819,2
20250327,320741,2
20250327,525659,2
20250327,1210119,2
20250327,2369922,2
20250327,767106,2
20250327,684248,2
20250327,1329294,2
20250327,397363,2
20250327,3620813,2
20250328,709025,2
20250328,4455,2
20250328,3564,2
20250328,4098,2
20250328,17101,4
20250328,3564,2
20250328,7484,2
20250328,19779,5
20250328,3564,2
20250328,5167,2
20250328,4098,2
20250328,7372,2
20250328,32074,2
20250328,297006,2
20250328,79285,9
20250328,22274,2
20250328,18710,2
20250328,122951,5
20250328,205560,11
20250328,169815,5
20250328,62438,4
20250328,41875,2
20250328,19601,2
20250328,245513,5
20250328,62849,4
20250328,86565,5
20250328,278617,5
20250328,24396,4
20250328,99964,4
20250328,139833,9
20250328,43478,2
20250328,278468,7
20250328,3074,2
20250328,90877,2
20250328,28118,2
20250328,189816,5
20250328,96222,2
20250328,890948,2
20250328,534569,2
20250328,58803,2
20250328,674448,2
20250328,10164476,11
20250328,507840,2
20250328,703510,2
20250328,2419815,2
20250328,962224,2
20250328,356379,2
20250328,5591589,2
20250329,434783,2
20250329,735499,2
20250329,273564,4
20250329,171741,4
20250329,5087,2
20250329,4455,2
20250329,3564,2
20250329,4455,2
20250329,30665,4
20250329,8197,2
20250329,7306,2
20250329,3232,2
20250329,11761,2
20250329,14129,2
20250329,11404,5
20250329,14433,5
20250329,8731,2
20250329,35638,2
20250329,67021,2
20250329,44547,2
20250329,20492,2
20250329,22274,2
20250329,63257,4
20250329,75731,2
20250329,64986,4
20250329,158589,5
20250329,22986,2
20250329,131932,5
20250329,66196,4
20250329,67712,5
20250329,53047,2
20250329,144334,4
20250329,194227,5
20250329,48111,2
20250329,220955,4
20250329,5262,2
20250329,10691,2
20250329,6468781,4
20250330,3564,2
20250330,3920,2
20250330,3564,2
20250330,4455,2
20250330,4455,2
20250330,14462,4
20250330,4098,2
20250330,7128,2
20250330,8197,2
20250330,19779,7
20250330,5702,2
20250330,60584,2
20250330,142552,7
20250330,106914,5
20250330,42766,2
20250330,42766,2
20250330,76593,4
20250330,115645,4
20250330,85531,2
20250330,148145,2
20250330,74840,2
20250330,54348,2
20250330,46329,2
20250330,48111,2
20250330,96222,2
20250330,144334,2
20250331,1273462,2
20250331,6771,2
20250331,4098,2
20250331,8197,2
20250331,19779,5
20250331,7128,2
20250331,3386,2
20250331,14612,4
20250331,3564,2
20250331,3386,2
20250331,5519,2
20250331,8731,4
20250331,5167,2
20250331,80185,2
20250331,194227,7
20250331,1279098,5
20250331,131860,5
20250331,40984,4
20250331,210579,11
20250331,136132,7
20250331,873715,4
20250331,1100241,4
20250331,13881,2
20250331,40681,2
20250331,40984,2
20250331,21543,2
20250331,40984,2
20250331,58642,5
20250331,2750640,4
20250331,17783,2
20250331,42053,2
20250331,122026,4
20250331,646187,7
20250331,88264,4
20250331,36696,4
20250331,20670,2
20250331,1360119,4
20250331,53100,4
20250331,191019,5
20250331,152887,5
20250331,124448,5
20250331,17783,2
20250331,55203,4
20250331,182644,5
20250331,192445,7
20250331,5770,2
20250331,1203113,2
20250331,1350624,2
20250331,253920,2
20250331,570795,2
20250331,498931,2
20250331,491135,2
20250331,184307,2
20250331,839273,2
20250331,747038,4
20250331,3108726,2
20250331,253920,2
20250331,939059,2
20250331,147006,2
20250331,730577,2
20250331,3296507,2
20250331,13676058,4
